Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-10-30,7:00 PM,9:00 PM,Minnesota Wild,1,Colorado Avalanche,4,Regulation
2021-10-30,8:00 PM,10:00 PM,Philadelphia Flyers,0,Calgary Flames,4,Regulation
2021-10-30,8:00 PM,10:00 PM,Edmonton Oilers,2,Vancouver Canucks,1,Regulation
2021-10-31,11:00 AM,1:00 PM,Arizona Coyotes,1,Carolina Hurricanes,2,Regulation
2021-10-31,2:00 PM,4:00 PM,Montreal Canadiens,2,Anaheim Ducks,4,Regulation
2021-10-31,2:00 PM,4:00 PM,Buffalo Sabres,2,Los Angeles Kings,3,Regulation
2021-10-31,3:00 PM,5:00 PM,Columbus Blue Jackets,4,New Jersey Devils,3,SO
2021-10-31,7:00 PM,9:00 PM,New York Rangers,3,Seattle Kraken,1,Regulation
2021-11-01,5:00 PM,7:00 PM,Washington Capitals,2,Tampa Bay Lightning,3,Regulation
2021-11-01,6:00 PM,8:00 PM,Ottawa Senators,1,Chicago Blackhawks,5,Regulation
2021-11-01,7:30 PM,9:30 PM,Seattle Kraken,2,Edmonton Oilers,5,Regulation
2021-11-02,5:00 PM,7:00 PM,Vegas Golden Knights,0,Toronto Maple Leafs,4,Regulation
2021-11-02,5:00 PM,7:00 PM,Detroit Red Wings,0,Montreal Canadiens,3,Regulation
2021-11-02,5:00 PM,7:00 PM,Arizona Coyotes,0,Philadelphia Flyers,3,Regulation
2021-11-02,6:00 PM,8:00 PM,Ottawa Senators,4,Minnesota Wild,5,OT
2021-11-02,6:00 PM,8:00 PM,Dallas Stars,3,Winnipeg Jets,4,SO
2021-11-02,7:00 PM,9:00 PM,Nashville Predators,3,Calgary Flames,2,OT
2021-11-02,8:00 PM,10:00 PM,New York Rangers,2,Vancouver Canucks,3,OT
2021-11-02,8:00 PM,10:00 PM,New Jersey Devils,0,Anaheim Ducks,4,Regulation
2021-11-02,8:30 PM,10:30 PM,Buffalo Sabres,3,San Jose Sharks,5,Regulation
2021-11-03,6:30 PM,8:30 PM,Carolina Hurricanes,4,Chicago Blackhawks,3,Regulation
2021-11-03,6:30 PM,8:30 PM,Nashville Predators,2,Edmonton Oilers,5,Regulation
2021-11-03,7:00 PM,9:00 PM,Columbus Blue Jackets,5,Colorado Avalanche,4,OT
2021-11-03,8:00 PM,10:00 PM,St. Louis Blues,2,Los Angeles Kings,3,SO
2021-11-04,5:00 PM,7:00 PM,Detroit Red Wings,1,Boston Bruins,5,Regulation
2021-11-04,5:00 PM,7:00 PM,Tampa Bay Lightning,1,Toronto Maple Leafs,2,OT
2021-11-04,5:00 PM,7:00 PM,New York Islanders,6,Montreal Canadiens,2,Regulation
2021-11-04,5:00 PM,7:00 PM,Vegas Golden Knights,5,Ottawa Senators,1,Regulation
2021-11-04,5:00 PM,7:00 PM,Washington Capitals,4,Florida Panthers,5,OT
2021-11-04,5:00 PM,7:00 PM,Philadelphia Flyers,2,Pittsburgh Penguins,3,OT
2021-11-04,7:00 PM,9:00 PM,Dallas Stars,4,Calgary Flames,3,OT
2021-11-04,8:00 PM,10:00 PM,Buffalo Sabres,2,Seattle Kraken,5,Regulation
2021-11-04,8:30 PM,10:30 PM,St. Louis Blues,5,San Jose Sharks,3,Regulation
2021-11-05,6:00 PM,8:00 PM,Chicago Blackhawks,1,Winnipeg Jets,5,Regulation
2021-11-05,7:30 PM,9:30 PM,New York Rangers,5,Edmonton Oilers,6,OT
2021-11-05,8:00 PM,10:00 PM,Nashville Predators,3,Vancouver Canucks,2,Regulation
2021-11-05,8:00 PM,10:00 PM,Arizona Coyotes,1,Anaheim Ducks,3,Regulation
2021-11-05,8:30 PM,10:30 PM,New Jersey Devils,2,Los Angeles Kings,3,OT
2021-11-06,12:00 PM,2:00 PM,Tampa Bay Lightning,5,Ottawa Senators,3,Regulation
2021-11-06,4:00 PM,6:00 PM,Carolina Hurricanes,2,Florida Panthers,5,Regulation
2021-11-06,5:00 PM,7:00 PM,Detroit Red Wings,4,Buffalo Sabres,3,OT
2021-11-06,5:00 PM,7:00 PM,Boston Bruins,2,Toronto Maple Leafs,5,Regulation
2021-11-06,5:00 PM,7:00 PM,Vegas Golden Knights,5,Montreal Canadiens,2,Regulation
2021-11-06,5:00 PM,7:00 PM,Minnesota Wild,5,Pittsburgh Penguins,4,SO
2021-11-06,5:00 PM,7:00 PM,Philadelphia Flyers,2,Washington Capitals,1,Regulation
2021-11-06,5:00 PM,7:00 PM,Colorado Avalanche,2,Columbus Blue Jackets,4,Regulation
2021-11-06,5:00 PM,7:00 PM,New York Islanders,2,Winnipeg Jets,0,Regulation
2021-11-06,8:00 PM,10:00 PM,New York Rangers,0,Calgary Flames,6,Regulation
2021-11-06,8:00 PM,10:00 PM,Seattle Kraken,4,Arizona Coyotes,5,Regulation
2021-11-06,8:30 PM,10:30 PM,New Jersey Devils,3,San Jose Sharks,2,SO
2021-11-07,5:00 PM,6:00 PM,Vegas Golden Knights,2,Detroit Red Wings,5,Regulation
2021-11-07,6:00 PM,7:00 PM,Nashville Predators,1,Chicago Blackhawks,2,OT
2021-11-07,7:00 PM,8:00 PM,New York Islanders,2,Minnesota Wild,5,Regulation
2021-11-07,7:00 PM,8:00 PM,St. Louis Blues,1,Anaheim Ducks,4,Regulation
2021-11-07,9:00 PM,10:00 PM,Dallas Stars,3,Vancouver Canucks,6,Regulation
2021-11-08,6:00 PM,7:00 PM,Florida Panthers,3,New York Rangers,4,Regulation
2021-11-08,6:00 PM,7:00 PM,Buffalo Sabres,3,Washington Capitals,5,Regulation
2021-11-08,6:30 PM,7:30 PM,Los Angeles Kings,5,Toronto Maple Leafs,1,Regulation
2021-11-09,6:00 PM,7:00 PM,Ottawa Senators,2,Boston Bruins,3,Regulation
2021-11-09,6:00 PM,7:00 PM,Los Angeles Kings,3,Montreal Canadiens,2,OT
2021-11-09,6:00 PM,7:00 PM,Carolina Hurricanes,2,Tampa Bay Lightning,1,OT
2021-11-09,6:00 PM,7:00 PM,Florida Panthers,3,New Jersey Devils,7,Regulation
2021-11-09,6:30 PM,7:30 PM,Edmonton Oilers,2,Detroit Red Wings,4,Regulation
2021-11-09,7:00 PM,8:00 PM,St. Louis Blues,3,Winnipeg Jets,2,SO
